gene_id	1	all_lost	elegans_lost	sp34_lost	domain	life_stage	phenotype	reference_count	tissue	interaction	EMB_0	4_cell	EMB_30	EMB_60	EMB_90	EMB_120	EMB_150	EMB_180	EMB_210	EMB_240	EMB_270	EMB_300	EMB_330	EMB_360	EMB_390	EMB_420	EMB_450	EMB_480	EMB_510	EMB_540	EMB_570	EMB_600	L1	L2	L3	L4_her	young_adult_her	old_adult_her	male	adult_soma_her	adult_gonad_her	dauer_entry	dauer	dauer_exit
CELEG.2L52.1	1	0	0	0	3	14	0	0	3	0	439	1038	1404.5	1405	1453.33	1930.67	1596.67	1423	1308	1501.33	1958	1719.67	1542	843.667	1793	1170.5	983	693	741	874	638	752.5	211	45	96	27.5	118.5	86	90.5	71	68236	540	712.5	838.333
CELEG.2RSSE.1	1	0	0	0	1	14	0	1	1	0	1919	2269	2510.5	2785	2517.33	4188.67	4458.67	5380.33	4434	5252.67	7358	7470	9350	6284.67	12472	10217.5	6734.5	9645	9565	6829	6659	1547.5	3700	537.5	2143.5	391	777	232	1097.5	1084.5	289110	2376.75	4754.75	2380.33
CELEG.3R5.1	1	0	0	0	1	13	2	3	2	0	588	258	141	113.5	81.6667	102.667	85.6667	76	70	50.3333	57	87	94.5	63	110	114	230	76	88	118	75	247	183.5	96	324	110.5	530	335	172	210.5	24286	672	1707.5	499.667
CELEG.4R79.1	1	0	0	0	3	13	2	3	10	1	19.5	2	4	0	4.33333	6	9.66667	24.3333	8	32.3333	24	99.3333	94	293	69	359.5	134.5	210	322	734	666	2.5	376	212	45.5	97	43	0	290.5	44.5	15938	25.75	37.75	29.6667
CELEG.4R79.2	1	0	0	0	12	15	3	1	5	2	1.5	5	7	24.5	11.6667	7	6.33333	14	1	3.66667	8	23.3333	8	129	19	82.5	204.5	56	40	196	145	3.5	276	34.5	82	20	41	0	341.5	50	9041	404.25	683	498.667
CELEG.6R55.2	1	0	0	0	1	11	0	0	1	0	8.5	10	6	4	7.66667	14.3333	14.6667	9.33333	7	13	9	8	12.5	3	10	13.5	11	6	30	31	7	10.5	36	24	20.5	41.5	8.5	1	19.5	17	1051	12.5	23.75	13.6667
CELEG.AC3.1	1	1	0	0	5	8	0	0	3	0	113.5	36	38.5	32.5	20.3333	13.6667	0	5	7	8	0	8.66667	6.5	14.6667	10	18	16	42	14	13	19	46	14.5	3	31	6.5	4.5	0	27.5	7	2572	174.5	298	158.333
CELEG.AC3.10	1	0	0	0	7	18	7	9	3	0	10	5	1.5	8.5	1	0	0	11.3333	5	25	9	12.6667	15	80.3333	5	39	15	45	58	89	56	0	14	22	147	67	61	17	609	72	5716	34.25	59.5	362
CELEG.AC3.2	1	0	0	0	3	17	0	0	3	0	344.5	332	782.5	988.5	807.667	806	584	267	306	237	314	267.333	320.5	190	205	184.5	1823.5	160	81	243	95	375.5	2300	808.5	895.5	490.5	665.5	34	1574	2048	97775	2067.75	3367.25	1625.67
CELEG.AC3.3	1	0	0	0	1	17	6	7	4	21	1	10	14.5	2.5	1.33333	12.3333	2.66667	10	2	2	3	3	3	22	10	2.5	2	1	2	27	14	5.5	427.5	189.5	101	315	77	0	258	165.5	5679	10.25	4.5	6.66667
CELEG.AC3.4	1	0	0	0	1	10	5	1	1	2	0.5	3	13	0	0.666667	6	1.33333	4.33333	2	0	2.5	1.33333	4.5	2	1	4	3	7	0	9	5	1.5	107	82	62.5	310.5	56	0	181	104	3510	8	2	4.66667
CELEG.AC3.5	1	0	0	0	5	21	0	2	2	0	4.5	125	73.5	34.5	59.3333	35.6667	28.6667	25	44	22	17.5	35	80	229.667	41	59.5	5335	128	9	365	64	11	6024.5	5999.5	13057	2255	3051.5	122	6711.5	7093	306615	20841.8	34929.8	25289.3
CELEG.AC3.6	1	0	0	0	2	10	2	1	1	0	5	15	4	2.5	4.66667	2.66667	2.66667	0.666667	0	5	5.5	16.3333	7	6.33333	18	13.5	44	4	23	35	8	0	34	1	101.5	4.5	5.5	0	7.5	8	14186	2298	1314.5	298.333
CELEG.AC3.7	1	0	0	0	3	19	4	3	1	2	154	71	290	227	332.333	303.667	228	118.667	96	74.3333	38	42.6667	52.5	39.6667	43	69.5	331	51	44	150	54	108.5	328.5	366	699.5	227	212	17	400	327	53137	5128.75	6190.5	3905.33
CELEG.AC3.8	1	0	0	0	3	19	0	1	1	0	5.5	5	0	22.5	2	4.66667	11.3333	46.6667	2	59	107.5	158	154	256.333	197	252	1020.5	203	208	417	206	2.5	971	396.5	307.5	84	201	5	262	305	22336	199.75	249.25	653.667
CELEG.AC7.1	1	0	0	0	2	14	19	2	12	0	0	0	3.5	0	5.33333	2.33333	1.66667	13	0	22	19	55	44.5	110	14	71	254.5	52	79	64	110	1	281.5	38.5	150.5	19	54	0	57	88	10161	688.25	1358.5	637.333
CELEG.AC7.2	1	0	0	0	7	22	5	24	24	12	940.5	1534	879.5	617	709	1048.67	1457	2212.33	1800	2966.33	4147.5	5489	6358.5	6916.33	8757	10497.5	15474.5	10639	10563	13029	9188	733	7233.5	2671.5	3934.5	1375	1152	457	1621	1709	333437	4968	7379	5577.67
CELEG.AC7.3	1	0	0	0	6	15	0	0	2	1	6.5	2	3.5	0	3	1.66667	1.66667	1.66667	0	7.33333	7	4.33333	1.5	7.33333	0	5.5	4.5	9	10	0	0	0	4.5	22	218	55.5	15	11	340	17.5	4005	0	3	121.333
CELEG.AC8.10	1	0	1	0	1	0	0	0	0	0	61.5	89	252	254	285	367.333	443.667	441.333	397	630.333	687.5	772.333	929	752.667	1150	982.5	1600.5	1181	1078	1089	591	143.5	1446.5	393.5	814.5	93.5	230.5	128	271.5	195	48940	779.75	3272.5	1846.33
CELEG.AC8.11	1	0	0	0	0	0	0	0	0	0	46	53	95	88	89	171.667	170.667	150.667	159	214	284.5	306.667	365	287.333	468	414	706.5	320	367	337	193	45	682	179.5	381	50	97	32	132.5	96.5	25830	448.25	1700	981.667
CELEG.AC8.12	1	0	0	0	0	8	1	0	1	0	84	88	124.5	131	107.667	152.667	173.667	200.333	199	191.333	222	236	326.5	236.667	297	298.5	425.5	308	321	667	357	50.5	309.5	133.5	287	51	125.5	55	57.5	60	19658	410.25	1026.25	602.667
CELEG.AC8.3	1	0	1	0	1	0	0	0	0	0	61.5	89	252	254	285	367.333	443.667	441.333	397	630.333	687.5	772.333	929	752.667	1150	982.5	1600.5	1181	1078	1089	591	143.5	1446.5	393.5	814.5	93.5	230.5	128	271.5	195	48940	779.75	3272.5	1846.33
CELEG.AC8.4	1	0	0	0	0	8	0	0	1	0	46	53	95	88	89	171.667	170.667	150.667	159	214	284.5	306.667	365	287.333	468	414	706.5	320	367	337	193	45	682	179.5	381	50	97	32	132.5	96.5	25830	448.25	1700	981.667
CELEG.AC8.7	1	0	0	0	0	9	1	0	1	0	84	88	124.5	131	107.667	152.667	173.667	200.333	199	191.333	222	236	326.5	236.667	297	298.5	425.5	308	321	667	357	50.5	309.5	133.5	287	51	125.5	55	57.5	60	19658	410.25	1026.25	602.667
CELEG.AH10.1	1	1	1	0	2	16	2	1	2	0	80.5	58	44	37.5	18.3333	20.3333	29.6667	78.6667	22	102	153	227.667	252.5	189.667	471	363	234	328	304	203	150	11	15.5	44	662.5	339.5	304.5	101	1782.5	228	21625	43.25	81	1207.33
CELEG.AH10.2	1	0	0	0	12	8	0	0	6	0	209.5	659	424.5	132.5	30.6667	16.6667	9	17.3333	16	24.6667	33	28	29	38.6667	74	43.5	35.5	90	76	175	124	452.5	3.5	0	2.5	0.5	0	0	0.5	2	4148	0.25	0.5	0
CELEG.AH10.3	1	0	0	0	0	0	0	0	0	0	1	12	9.5	7	24	50.6667	99.6667	368.667	80	857.333	575.5	1077.33	1179.5	996.333	1924	1786	957.5	1543	1317	903	974	8.5	168.5	66	59.5	12.5	51.5	33	68	38.5	23885	183.5	608.25	294
CELEG.AH10.4	1	0	0	0	0	11	2	0	1	0	12	4	0.5	0	0.666667	0.333333	4	7	5	18.6667	22	30	46.5	26	47	62.5	30	31	34	13	25	0	1.5	0.5	4	3	2	1	7	0	342	3.25	2	3
CELEG.AH6.1	1	0	0	0	7	0	1	7	9	1	17.5	0	4	0	3.66667	10.6667	10.3333	6	5	4.66667	2.5	14.3333	6.5	57.3333	20	44	34.5	35	26	4	12	1	5.5	0	14	0	2	0	4.5	0	813	71.25	210.75	101
CELEG.AH6.10	1	0	0	0	3	10	1	15	18	9	0	5	6.5	1	0.333333	5.66667	1.33333	2	0	1.66667	12	4.33333	7	17.3333	8	12	110.5	43	5	8	5	0	73	5	6.5	3	3.5	0	3.5	0.5	917	20	92	47.3333
CELEG.AH6.11	1	0	0	0	2	8	0	3	7	0	0	8	4	0	1	3	0.333333	0	0	0	0	1.33333	3	14.3333	9	9	11.5	11	23	19	31	0.5	11.5	1	1	0	0	0	2.5	0	331	18	22.75	16.3333
CELEG.AH6.12	1	0	0	0	3	0	0	3	0	0	0	5	4.5	0	0	1.66667	1	0	0	10	1	18.6667	0	17.6667	0	10.5	8	1	8	11	11	0	5.5	0	0	0.5	0	0	0	0	116	9.5	10.75	6.66667
CELEG.AH6.14	1	0	0	0	3	1	0	3	2	1	0	4	2	0	4	0	0.666667	3.33333	0	2.66667	5.5	7	1.5	11.6667	0	16	7	9	0	0	5	0	10	0	0	0	0	0	0	0	120	8	25.25	4.33333
